price,km,year,combi,model,fuel
124800,61000,1996,1,Felicia,petrol
529000,8949,2003,0,Octavia,petrol
146000,89000,1998,0,Felicia,petrol
70000,122716,1996,1,Felicia,petrol
339000,78309,2000,0,Octavia,diesel
75000,96000,1995,0,Felicia,petrol
129000,152432,1996,0,Felicia,petrol
329000,34000,2000,0,Octavia,diesel
537000,2765,2003,0,Octavia,diesel
85000,114127,1995,0,Felicia,petrol
91000,86000,1996,0,Felicia,petrol
135000,84247,1997,0,Felicia,petrol
120000,167618,1998,1,Felicia,petrol
189900,43195,1996,0,Octavia,petrol
639000,9174,2003,1,Octavia,diesel
90000,111500,1996,1,Felicia,petrol
249000,128000,1999,0,Octavia,petrol
380000,32000,2001,0,Octavia,diesel
135000,144163,1998,0,Felicia,petrol
129000,152432,1996,0,Felicia,petrol
519000,28537,2002,0,Octavia,diesel
385000,132858,1999,0,Octavia,diesel
271000,179000,1999,1,Octavia,petrol
177700,137000,1997,0,Octavia,petrol
109000,96000,1998,0,Felicia,petrol
139000,33000,2000,0,Felicia,petrol
158000,80973,1999,0,Felicia,petrol
95000,125815,1995,0,Felicia,petrol
680000,19800,2003,0,Superb,petrol
286000,134600,1999,0,Octavia,petrol
349000,28030,2002,0,Octavia,petrol
289000,114000,2000,0,Octavia,diesel
239000,33000,1999,0,Octavia,petrol
99000,93100,1996,0,Felicia,petrol
199900,79000,1999,0,Octavia,petrol
155000,103923,1999,0,Felicia,diesel
649000,31000,2002,1,Octavia,petrol
129000,70000,1998,0,Felicia,petrol
289000,122000,1999,1,Octavia,petrol
85000,137000,1995,0,Felicia,petrol
189900,72000,1997,0,Octavia,petrol
